Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,ARG,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44735684,,8.754652514,9.041722501,8.554003296,9.167151915,7.96347331,
Argentina,ARG,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,47.76119232,,52.73631668,,48.25870514,51.24378204,52.40384674,51.92307663,53.36538315,54.80769348,51.92307663,52.13270187,54.50236893,53.99061203,53.52112579,52.58216095,49.75369644,54.18719101,55.17241287,57.1428566,57.48792267,59.90338135,58.45410538,58.93719864,
Argentina,ARG,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,32.90676417,27.35483871,30.89700997,24.81412639,24.10651717,26.20558376,40.3172505,32.24199288,30.3657695,32.70794246,36.75604971,35.52859619,33.47412883,37.87152445,39.88515901,35.97056118,52.03546673,58.76359402,60.7746966,60.63583026,61.81309644,62.68660024,64.42914737,63.71645455,61.26569372,59.62013892,45.78044853,46.58684916,43.97093488,43.0263998,43.03696891,43.6206976,41.3744956,38.3212118,39.49842444,37.98999146,35.69078096,33.54782588,37.60504962,37.88350885,37.50776816,35.15505106,36.77857854,35.86890452,18.54191945,4.388265091,24.31187954
Argentina,ARG,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,547000000,775000000,903000000,1076000000,1427000000,1576000000,1513000000,1405000000,1449000000,1599000000,1529000000,1731000000,1894000000,2086000000,2264000000,2174000000,2842100000,2885460000,3180600000,3664500000,4239554642,4430771471,4694769563,4548118725,4739520315,4431053077,3353200000,4304820000,5082380000,6342850000,7786962532,9915456721,11272813244,10409000073,12631416302,14295746454,14047685905,13487139927,13189837805,13005539727,13242351882,15274100120,15125130033,14610601598,9319711689,9244537750,14237044036
Argentina,ARG,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1079100000,964200000,1216800000,1364400000,1409300000,1492000000,1592900000,1464400000,1365350000,1610700000,1772520000,1739840000,1940520000,3267920000,3930600000,2960930000,3915730000,5651430000,6401380000,7809390000,8024890000,9139330000,7622620000,7835700000,8107400000,8396050000,6851890000,6360070000,9136550000,9560656881,12352010000,11972706000,12228056000,13111665000,16396134596,20362982000,24216992938,25371852253,26281771808,22884322590,26324380053,26523609247,25695357982,29561288930,33922907118,40280844890,46533628917,55960772788,70013273020,55647684007,67420303652,82107003162,78580713840,74292063198,67418856619,56672272433,57909082176,58644739467,61665675987,64467215005,54635289001,,
Argentina,ARG,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.732091558,0.539307198,0.632807364,0.608326004,0.11353154,0.301608579,0.175780024,0.327779295,0.549309701,0.750605327,0.711980683,0.899508001,0.837919733,1.906411418,4.491680659,5.937323746,3.470617228,4.401540849,2.683015225,3.133279296,2.920040025,2.246991847,6.976603845,7.427160305,8.418851913,6.980306215,7.872864275,4.383914014,4.377691798,4.323379305,6.475326688,5.101177629,5.149796501,4.053314358,3.55897298,4.067032029,5.988027237,5.836360074,4.782210915,4.291708615,4.671243929,5.568891923,5.486016104,4.232899235,5.011098937,4.293737199,3.485930173,4.716834249,6.407129164,5.861976178,6.570131667,7.416944664,6.492719498,7.413053299,7.996710043,7.210977899,7.945216583,7.906032224,7.348525622,7.27301156,7.494672537,,
Argentina,ARG,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1.38078028,1.897946484,3.369493754,1.546467312,7.365358689,6.608579088,6.189967983,1.666211418,1.446515545,1.815359781,1.97064067,1.940983079,1.702121081,8.22572156,11.4992622,8.119746161,4.811363398,8.397166735,6.007923292,7.631966133,7.264024803,5.52677275,11.02901627,19.60118432,15.14640945,16.50061636,16.0036136,11.91873674,13.65033848,14.0872433,14.50872368,12.24201947,13.11018693,10.69988442,9.418295908,11.34714945,15.98555526,16.45108372,13.98315832,15.1693026,14.36343434,17.66911574,18.27556644,21.13688812,22.0516037,23.82935679,23.02397587,25.61933114,25.62545169,23.29854587,25.91062492,25.9504167,24.79379304,27.27003516,29.27428177,32.84726955,34.76197242,32.95651518,30.50069214,36.30665138,37.79354036,,
Argentina,ARG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.813335466,0.833818569,0.500304019,0.268986497,0.286643987,0.468486611,0.645334988,0.515775152,0.471868854,0.529028632,0.463152579,0.376045075,0.475331241,0.298571509,0.301816725,0.266728514,0.568331489,0.962451116,2.172933022,1.754551677,1.586687286,1.305303137,1.306328821,1.724138065,1.825666685,2.41126818,,,,,1.168099542,1.159000379,1.311909201,1.631918201,1.166228881,1.545252348,2.726406527,3.274405106,2.952604829,3.052707079,3.866433857,3.00518543,3.917322922,3.215397742,4.222834365,3.815607354,3.201150863,3.757181736,4.291375211,3.938765931,4.060739487,3.178088097,3.264377114,2.749315678,3.21486753,3.190257917,0.475469085,0.440474609,0.217988929,0.055933033,0.279738032
Argentina,ARG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,1.080846673,0.822615007,0.432268863,0.615568721,0.878622057,0.525258658,0.905895163,0.358795438,0.429985458,0.488016439,0.322420189,0.171398382,0.314088278,0.494938172,0.503027415,0.492338389,0.807152517,0.62153584,3.464286932,6.780998477,7.1879412,4.265832302,4.091021674,7.307023528,2.241260118,1.34305051,,,,,8.839306055,9.415964601,10.42118139,10.33985005,12.96900986,11.6985744,8.611764478,12.11682383,17.62418306,17.02721434,17.00623791,17.08306339,16.00028985,16.39614556,15.26331658,10.92630855,9.370982134,10.16524455,7.903177467,5.972465442,6.228469353,4.682107898,4.677990008,2.538594641,2.496268045,2.785000934,4.119374454,3.597787967,2.678988424,2.642793165,6.177030468
